  real distance              measured distance                          Err_r
============================================================================
              1                              3                              2
              4                              6                              2
              7                              9                              2
             10                             12                              2
             13                             15                              2
             16                             18                              2
             19                             21                              2
             22                             24                              2
             25                             27                              2
             28                             30                              2
             31                             33                              2
             34                             36                              2
             37                             39                              2
             40                             42                              2
             43                             45                              2
             46                             48                              2
             49                             51                              2
             52                             54                              2
             55                             57                              2
             58                             60                              2
             61                             63                              2
             64                             66                              2
             67                             69                              2
             70                             72                              2
             73                             75                              2
             76                             78                              2
             79                             81                              2
             82                             84                              2
             85                             87                              2
             88                             90                              2
             91                             93                              2
             94                             96                              2


    real velocy                measured velocy                          Err_v
============================================================================
              0                              0                              0
              3                              3                              0
