  real distance              measured distance                          Err_r
============================================================================
              1                              3                              2
              4                              6                              2


    real velocy                measured velocy                          Err_v
============================================================================
            -45                            -45                              0
            -42                            -42                              0
            -39                            -39                              0
            -36                            -36                              0
            -33                            -33                              0
            -30                            -30                              0
            -27                            -27                              0
            -24                            -24                              0
            -21                            -21                              0
            -18                            -18                              0
            -15                            -15                              0
            -12                            -12                              0
             -9                             -9                              0
             -6                             -6                              0
             -3                             -3                              0
              0                              0                              0
              3                              3                              0
              6                              6                              0
              9                              9                              0
             12                             12                              0
             15                             15                              0
             18                             18                              0
             21                             21                              0
             24                             24                              0
             27                             27                              0
             30                             30                              0
             33                             33                              0
             36                             36                              0
             39                             39                              0
             42                             42                              0
             45                             45                              0
             48                             48                              0
